Attendance,Hours_Studied,Support_Multiplier,Overcoming_Odds,Disadvantage_Score,Tutoring_Sessions,Motivation_Sustainability,Access_to_Resources,Parental_Education_Level,Previous_Scores,Inefficiency_Flag,Teacher_Quality,Motivation_Level,Effort_Payoff,Family_Income,Sleep_Hours,Physical_Activity,Peer_Influence,Support_Index,Resilience_Score,Exam_Score
68,17,4.25,55,3,2,0.952,Medium,High School,70,False,Medium,Medium,3.888888888888889,Medium,8,4,Positive,5.0,0,64
60,14,4.199999999999999,45,4,0,0.39,Low,College,65,False,Medium,Low,4.333333333333333,High,10,3,Positive,6.0,0,60
70,22,6.6000000000000005,47,7,1,1.148,Medium,High School,82,False,High,Medium,3.5652173913043477,Low,6,3,Neutral,6.0,0,65
80,15,4.5,66,5,3,0.7280000000000001,Medium,College,91,False,Medium,Low,5.6875,Low,9,2,Positive,6.0,0,67
75,12,3.5999999999999996,48,2,3,0.8699999999999999,High,College,58,False,Medium,Medium,4.461538461538462,Medium,7,4,Positive,6.0,0,66
78,29,4.35,89,2,0,2.3165999999999998,Medium,High School,99,False,Medium,High,3.3,High,5,1,Negative,3.0,0,69
99,19,4.75,74,2,1,1.6632,High,High School,84,False,High,Medium,4.2,Medium,6,3,Neutral,5.0,0,72
74,20,3.0,79,2,1,0.6586,High,College,89,False,Medium,Low,4.238095238095238,Medium,8,2,Negative,3.0,0,66
78,11,2.75,80,4,1,2.34,Medium,High School,100,False,Medium,High,8.333333333333334,Low,8,3,Neutral,5.0,0,66
65,17,5.1,45,6,2,0.9750000000000001,High,High School,75,False,Medium,Medium,4.166666666666667,Low,5,3,Positive,6.0,0,63
62,21,7.3500000000000005,39,3,0,1.0044,Low,Postgraduate,54,False,High,High,2.4545454545454546,High,6,3,Positive,7.0,1,64
91,13,1.9500000000000002,70,4,1,1.6380000000000001,Medium,High School,90,False,Medium,Medium,6.428571428571429,High,6,2,Negative,3.0,0,65
83,22,5.5,94,0,0,1.5603999999999998,High,College,94,False,Medium,Medium,4.086956521739131,High,6,2,Neutral,5.0,0,71
90,16,3.2,33,5,1,1.044,Medium,High School,58,False,Medium,Medium,3.411764705882353,Low,4,3,Neutral,4.0,0,66
66,18,3.6,36,3,2,0.3366,High,College,51,False,Medium,Low,2.6842105263157894,Low,4,2,Neutral,4.0,0,64
83,16,3.2,37,4,0,0.9461999999999998,Medium,High School,57,False,Low,Medium,3.3529411764705883,High,6,4,Positive,4.0,0,63
70,31,6.2,61,1,1,0.9239999999999999,High,College,66,False,Medium,Medium,2.0625,High,7,3,Negative,4.0,0,69
69,20,7.0,81,3,2,1.3247999999999998,Medium,High School,96,False,High,Medium,4.571428571428571,Medium,8,3,Positive,7.0,0,67
60,14,2.8,40,2,2,0.6,Medium,College,50,False,Medium,Medium,3.3333333333333335,Medium,5,3,Neutral,4.0,0,61
65,25,6.25,80,2,2,1.1700000000000002,Medium,College,90,False,Medium,Medium,3.4615384615384617,Medium,5,3,Positive,5.0,0,68
72,13,1.9500000000000002,58,7,1,0.6696,Medium,High School,93,False,Medium,Low,6.642857142857143,Low,6,3,Negative,3.0,0,61
65,21,7.3500000000000005,66,5,2,0.5915,Low,High School,91,False,High,Low,4.136363636363637,Medium,7,3,Positive,7.0,0,64
99,8,1.6,29,5,2,0.5346000000000001,Medium,Postgraduate,54,False,Medium,Low,6.0,Low,9,5,Neutral,4.0,0,67
72,12,3.5999999999999996,49,7,1,1.2096,Medium,High School,84,False,Medium,Medium,6.461538461538462,Low,8,5,Positive,6.0,0,63
65,21,5.25,73,5,1,0.637,Medium,High School,98,False,High,Low,4.454545454545454,Medium,6,4,Negative,5.0,0,64
68,24,6.0,51,1,3,0.3808000000000001,Medium,College,56,True,High,Low,2.24,High,8,1,Neutral,5.0,0,67
84,21,6.300000000000001,37,3,1,0.4368,Medium,College,52,False,High,Low,2.3636363636363638,Medium,6,2,Neutral,6.0,0,65
63,19,4.75,74,4,1,1.1844,High,High School,94,False,Medium,Medium,4.7,Medium,7,3,Positive,5.0,0,64
94,18,3.6,72,2,3,1.5415999999999999,High,College,82,False,Medium,Medium,4.315789473684211,Medium,7,2,Negative,4.0,0,70
98,11,3.3000000000000003,67,3,1,0.8036,Medium,Postgraduate,82,False,Medium,Low,6.833333333333333,Medium,9,3,Positive,6.0,0,68
70,16,4.800000000000001,83,3,2,1.3719999999999999,Medium,High School,98,False,Medium,Medium,5.764705882352941,Medium,8,3,Positive,6.0,0,65
78,17,5.95,73,3,1,1.3728,Medium,College,88,False,High,Medium,4.888888888888889,Medium,6,3,Positive,7.0,0,68
61,26,7.800000000000001,35,7,2,0.854,Low,High School,70,False,Medium,Medium,2.5925925925925926,Low,6,3,Positive,6.0,0,64
86,22,7.700000000000001,37,7,3,0.6192,Medium,High School,72,False,High,Low,3.130434782608696,Low,7,2,Positive,7.0,0,68
77,9,2.25,42,3,2,0.8777999999999999,Medium,High School,57,False,High,Medium,5.7,Medium,5,3,Neutral,5.0,0,63
71,22,5.5,40,5,1,0.46149999999999997,Medium,College,65,False,Low,Low,2.8260869565217392,Medium,7,4,Positive,5.0,0,64
68,18,3.6,62,2,0,0.9792000000000001,Medium,College,72,False,Medium,Medium,3.789473684210526,Medium,7,3,Neutral,4.0,0,64
86,16,4.800000000000001,38,5,2,1.0836,Medium,High School,63,False,Medium,Medium,3.7058823529411766,Medium,8,4,Positive,6.0,0,67
77,24,4.8,76,4,0,1.4784,Low,High School,96,False,Medium,Medium,3.84,Medium,8,3,Neutral,4.0,0,67
67,26,7.800000000000001,46,1,2,0.3417,High,Postgraduate,51,True,High,Low,1.8888888888888888,High,7,4,Neutral,6.0,0,66
88,26,9.1,59,4,1,1.3904,High,College,79,False,High,Medium,2.925925925925926,Low,5,4,Positive,7.0,0,72
83,15,3.75,79,2,1,0.7387,High,High School,89,False,High,Low,5.5625,Medium,5,2,Neutral,5.0,0,65
94,18,5.4,72,3,1,2.4534,Medium,High School,87,False,Medium,High,4.578947368421052,Medium,6,4,Positive,6.0,1,71
65,22,6.6000000000000005,62,4,2,1.066,Low,Postgraduate,82,False,High,Medium,3.5652173913043477,Medium,8,1,Positive,6.0,0,66
91,26,6.5,36,7,0,1.2922,Low,High School,71,False,Medium,Medium,2.6296296296296298,Low,8,3,Neutral,5.0,0,68
87,17,2.55,86,2,1,1.6703999999999999,Medium,Postgraduate,96,False,Medium,Medium,5.333333333333333,High,7,5,Negative,3.0,0,70
65,19,5.699999999999999,41,5,0,0.42900000000000005,Medium,High School,66,False,Medium,Low,3.3,Low,10,3,Positive,6.0,0,62
88,13,3.25,58,6,2,2.3232,High,Postgraduate,88,False,High,High,6.285714285714286,Low,9,4,Negative,5.0,0,68
78,13,3.25,76,4,2,2.2464,High,College,96,False,Medium,High,6.857142857142857,Low,9,3,Neutral,5.0,0,67
98,25,7.5,36,4,0,1.0976000000000001,High,Postgraduate,56,True,High,Medium,2.1538461538461537,Medium,8,3,Neutral,6.0,0,71
66,28,7.0,87,2,0,1.2804,High,High School,97,False,Medium,Medium,3.3448275862068964,Medium,8,2,Neutral,5.0,0,68
86,20,4.0,64,5,1,1.5308,Medium,Postgraduate,89,False,Medium,Medium,4.238095238095238,Low,8,3,Negative,4.0,0,69
75,26,9.1,61,4,3,1.8225000000000002,High,High School,81,False,High,High,3.0,Medium,4,2,Positive,7.0,1,70
98,22,4.4,49,4,1,0.6761999999999999,High,High School,69,False,High,Low,3.0,Low,5,4,Negative,4.0,0,69
73,16,2.4000000000000004,70,5,1,1.387,Medium,College,95,False,Medium,Medium,5.588235294117647,Low,7,4,Negative,3.0,0,65
98,22,6.6000000000000005,27,5,3,1.0192,Low,College,52,False,Medium,Medium,2.260869565217391,Medium,7,3,Positive,6.0,0,70
96,29,8.7,37,7,1,1.3823999999999999,Low,High School,72,False,Medium,Medium,2.4,Low,7,3,Positive,6.0,0,71
71,20,4.0,63,5,1,1.2496,Medium,College,88,False,Low,Medium,4.190476190476191,Low,7,4,Neutral,4.0,0,65
92,29,4.35,66,5,2,1.6744,Medium,Postgraduate,91,False,Medium,Medium,3.033333333333333,Medium,4,1,Negative,3.0,0,72
100,4,1.4000000000000001,55,1,0,1.7999999999999998,High,College,60,False,High,High,12.0,Medium,8,4,Positive,7.0,1,69
70,25,6.25,37,3,1,0.728,Medium,Postgraduate,52,True,Medium,Medium,2.0,Medium,7,3,Positive,5.0,0,66
77,21,5.25,65,5,4,1.3860000000000001,Medium,Postgraduate,90,False,Medium,Medium,4.090909090909091,Medium,7,3,Neutral,5.0,0,68
81,18,4.5,51,4,0,1.1502000000000001,Low,High School,71,False,Medium,Medium,3.736842105263158,Medium,8,3,Neutral,5.0,0,65
72,21,5.25,47,2,1,0.8207999999999999,Medium,College,57,False,Medium,Medium,2.590909090909091,High,5,5,Neutral,5.0,0,64
61,8,2.4000000000000004,44,2,1,0.6588,Medium,College,54,False,Medium,Medium,6.0,High,7,3,Positive,6.0,0,60
69,19,3.8,62,4,1,1.6973999999999998,High,High School,82,False,Medium,High,4.1,Low,7,2,Negative,4.0,0,65
71,22,4.4,59,4,1,1.6827,Medium,High School,79,False,Low,High,3.4347826086956523,Low,6,3,Positive,4.0,0,66
78,29,8.7,88,1,5,0.7254,High,College,93,False,High,Low,3.1,Medium,4,3,Neutral,6.0,0,74
67,17,3.4,37,3,2,1.0452000000000001,Medium,High School,52,False,Medium,High,2.888888888888889,Medium,5,3,Negative,4.0,0,62
95,15,3.75,68,5,2,1.767,Medium,College,93,False,Medium,Medium,5.8125,Low,7,4,Positive,5.0,0,70
88,17,4.25,84,2,0,0.8271999999999999,High,High School,94,False,Medium,Low,5.222222222222222,Medium,7,3,Neutral,5.0,0,69
63,25,6.25,62,2,3,0.9072,High,College,72,False,High,Medium,2.769230769230769,Medium,7,4,Negative,5.0,0,67
86,22,4.4,19,7,2,0.9288000000000001,Low,High School,54,False,Medium,Medium,2.347826086956522,Medium,6,0,Neutral,4.0,0,64
86,17,3.4,92,1,3,2.5026,High,College,97,False,Medium,High,5.388888888888889,High,5,3,Neutral,4.0,0,71
98,23,4.6,29,5,0,0.5292,Low,College,54,False,Medium,Low,2.25,Medium,7,3,Negative,4.0,0,68
60,21,5.25,70,2,0,0.96,Medium,College,80,False,High,Medium,3.6363636363636362,Medium,7,4,Neutral,5.0,0,64
70,26,5.2,50,5,1,1.0499999999999998,Low,High School,75,False,Low,Medium,2.7777777777777777,Medium,8,4,Neutral,4.0,0,63
97,16,4.800000000000001,82,2,0,0.8924,Medium,College,92,False,Medium,Low,5.411764705882353,High,6,4,Positive,6.0,0,71
97,18,5.4,55,4,0,0.7275,Medium,High School,75,False,Medium,Low,3.9473684210526314,Low,4,3,Positive,6.0,0,69
89,18,5.4,68,1,3,1.2993999999999999,Medium,College,73,False,Medium,Medium,3.8421052631578947,High,4,2,Positive,6.0,0,100
91,11,2.2,79,3,3,1.7107999999999999,Medium,College,94,False,Medium,Medium,7.833333333333333,Medium,6,3,Neutral,4.0,0,68
64,22,3.3000000000000003,73,5,1,0.6272,Medium,High School,98,False,Medium,Low,4.260869565217392,Medium,7,3,Negative,3.0,0,62
81,22,6.6000000000000005,62,3,2,0.6237,Medium,Postgraduate,77,False,Medium,Low,3.347826086956522,Medium,7,3,Positive,6.0,0,68
69,20,6.0,58,3,2,1.0073999999999999,High,High School,73,False,Medium,Medium,3.4761904761904763,Low,6,3,Positive,6.0,0,66
67,19,4.75,67,5,0,1.8492000000000004,Medium,College,92,False,Medium,High,4.6,Medium,5,3,Positive,5.0,0,64
92,12,3.0,77,3,2,2.5392,Medium,High School,92,False,High,High,7.076923076923077,Medium,4,3,Neutral,5.0,0,67
65,17,5.1,61,1,1,0.8580000000000001,High,Postgraduate,66,False,High,Medium,3.6666666666666665,High,8,4,Neutral,6.0,0,65
79,18,5.4,54,5,0,1.2482000000000002,Medium,College,79,False,High,Medium,4.157894736842105,Low,7,3,Neutral,6.0,0,65
98,15,4.5,38,4,0,1.7051999999999998,Medium,College,58,False,High,High,3.625,Low,6,3,Positive,6.0,1,69
67,19,1.9,57,5,1,1.6482,Medium,High School,82,False,Low,High,4.1,Low,5,3,Negative,2.0,0,63
99,22,4.4,67,5,3,0.9108,Low,Postgraduate,92,False,Medium,Low,4.0,Medium,6,4,Negative,4.0,0,72
100,31,9.3,49,2,2,1.18,Medium,Postgraduate,59,True,High,Medium,1.84375,High,7,5,Positive,6.0,0,76
82,21,6.300000000000001,46,4,3,1.6236000000000002,High,College,66,False,Medium,High,3.0,Low,7,3,Positive,6.0,1,69
67,22,7.700000000000001,47,5,3,1.4472,Medium,Postgraduate,72,False,High,High,3.130434782608696,Low,7,2,Positive,7.0,1,67
73,20,7.0,82,2,2,1.3432,Medium,College,92,False,High,Medium,4.380952380952381,Medium,9,3,Positive,7.0,0,69
77,8,2.0,67,4,0,1.3398,Medium,High School,87,False,Medium,Medium,9.666666666666666,Low,6,2,Neutral,5.0,0,63
72,20,6.0,41,5,3,0.9504,Medium,Postgraduate,66,False,High,Medium,3.142857142857143,Low,9,3,Positive,6.0,0,67
71,20,4.0,42,4,2,1.3206,High,College,62,False,Medium,High,2.9523809523809526,Medium,7,5,Negative,4.0,0,66
99,35,10.5,80,1,2,0.8415,High,Postgraduate,85,False,High,Low,2.361111111111111,Medium,7,2,Neutral,6.0,0,79
66,19,3.8,64,2,1,0.9768,Medium,High School,74,False,Medium,Medium,3.7,High,8,3,Neutral,4.0,0,64
89,22,7.700000000000001,80,0,1,1.4240000000000002,High,High School,80,False,High,Medium,3.4782608695652173,High,6,3,Positive,7.0,0,73
60,20,6.0,52,6,2,1.4759999999999998,High,High School,82,False,High,High,3.9047619047619047,Low,7,4,Positive,6.0,1,63
84,13,3.9000000000000004,53,5,1,1.3104,Medium,High School,78,False,High,Medium,5.571428571428571,Low,5,2,Positive,6.0,0,65
97,27,8.100000000000001,66,3,0,1.5714000000000001,High,High School,81,False,Medium,Medium,2.892857142857143,High,8,5,Positive,6.0,0,73
72,25,7.5,79,3,2,0.6768,High,College,94,False,Medium,Low,3.6153846153846154,Low,8,4,Positive,6.0,0,70
67,25,7.5,73,4,2,1.8693000000000004,Medium,High School,93,False,High,High,3.576923076923077,Low,9,3,Positive,6.0,1,68
86,15,3.0,42,3,1,0.9803999999999999,Medium,College,57,False,Medium,Medium,3.5625,Medium,7,3,Negative,4.0,0,65
89,28,8.399999999999999,49,6,0,2.1093,High,College,79,False,Medium,High,2.7241379310344827,Low,9,1,Positive,6.0,1,71
88,12,3.0,47,5,2,0.6335999999999999,Medium,College,72,False,Medium,Low,5.538461538461538,Medium,6,2,Positive,5.0,0,64
73,24,6.0,59,1,4,0.9344,High,College,64,False,Medium,Medium,2.56,High,8,3,Neutral,5.0,0,68
70,33,9.899999999999999,57,5,1,0.574,Medium,College,82,False,High,Low,2.411764705882353,Low,6,4,Neutral,6.0,0,69
98,14,4.199999999999999,61,3,0,1.4896,Medium,College,76,False,High,Medium,5.066666666666666,Medium,7,4,Positive,6.0,0,69
97,17,,64,5,1,1.7266,Medium,High School,89,False,,Medium,4.944444444444445,Low,8,4,Neutral,,0,69
78,21,5.25,45,2,1,0.8580000000000001,Medium,College,55,False,Low,Medium,2.5,High,10,2,Positive,5.0,0,67
94,17,4.25,40,5,4,0.611,Medium,High School,65,False,Medium,Low,3.611111111111111,Medium,8,6,Neutral,5.0,0,68
78,11,2.75,31,4,2,0.7956000000000001,High,Postgraduate,51,False,Medium,Medium,4.25,Low,8,3,Neutral,5.0,0,64
77,20,6.0,62,5,0,0.6699,Medium,High School,87,False,High,Low,4.142857142857143,Low,6,4,Positive,6.0,0,66
66,14,2.8,66,6,3,1.2672,Low,High School,96,False,High,Medium,6.4,Low,7,3,Negative,4.0,0,63
77,23,6.8999999999999995,54,5,0,1.2166000000000001,Medium,High School,79,False,High,Medium,3.2916666666666665,Low,7,2,Neutral,6.0,0,66
81,14,2.8,56,5,1,1.3122000000000003,Medium,Postgraduate,81,False,High,Medium,5.4,Low,9,3,Negative,4.0,0,66
61,29,8.7,32,4,3,0.3172,High,College,52,True,Medium,Low,1.7333333333333334,Low,7,3,Positive,6.0,0,67
78,15,2.25,60,3,1,0.585,High,High School,75,False,Medium,Low,4.6875,Low,9,1,Negative,3.0,0,65
91,18,4.5,51,5,1,1.3832,Medium,High School,76,False,Medium,Medium,4.0,Medium,5,3,Neutral,5.0,0,68
87,25,7.5,17,7,1,1.3572,Low,High School,52,True,High,High,2.0,Low,9,2,Positive,6.0,1,68
85,13,2.6,84,1,0,1.513,Medium,High School,89,False,Medium,Medium,6.357142857142857,High,6,1,Neutral,4.0,0,65
96,21,5.25,49,3,2,1.8432,Medium,College,64,False,High,High,2.909090909090909,Medium,8,0,Neutral,5.0,0,71
61,28,4.199999999999999,66,4,1,1.5738,High,Postgraduate,86,False,Medium,High,2.9655172413793105,Low,6,3,Negative,3.0,0,65
82,10,3.0,35,7,3,1.148,Low,Postgraduate,70,False,High,Medium,6.363636363636363,Low,8,1,Positive,6.0,0,64
91,21,4.2,95,1,0,1.82,Medium,Postgraduate,100,False,Medium,Medium,4.545454545454546,High,6,2,Neutral,4.0,0,72
82,22,3.3000000000000003,36,5,2,1.0004,Medium,High School,61,False,Medium,Medium,2.652173913043478,Low,9,2,Negative,3.0,0,65
73,25,5.0,33,4,0,1.1607,High,Postgraduate,53,True,High,High,2.0384615384615383,Low,8,5,Negative,4.0,0,66
65,13,1.9500000000000002,69,6,0,1.287,High,High School,99,False,Medium,Medium,7.071428571428571,Low,6,4,Negative,3.0,0,61
96,12,3.0,42,4,2,1.1904,High,College,62,False,High,Medium,4.769230769230769,Medium,8,3,Negative,5.0,0,68
79,23,4.6,77,1,3,0.6478,High,Postgraduate,82,False,Medium,Low,3.4166666666666665,Medium,8,3,Negative,4.0,0,69
95,22,6.6000000000000005,49,4,1,1.311,High,College,69,False,Medium,Medium,3.0,Low,6,3,Positive,6.0,0,72
83,22,7.700000000000001,62,4,2,1.3611999999999997,High,Postgraduate,82,False,High,Medium,3.5652173913043477,Low,5,3,Positive,7.0,0,71
87,22,4.4,65,3,2,0.6960000000000001,High,High School,80,False,High,Low,3.4782608695652173,Low,5,3,Negative,4.0,0,70
92,16,4.0,65,4,1,0.782,High,High School,85,False,Medium,Low,5.0,Low,5,2,Neutral,5.0,0,68
86,21,7.3500000000000005,16,7,2,0.8772,Medium,High School,51,False,High,Medium,2.3181818181818183,Low,5,2,Positive,7.0,0,67
76,22,6.6000000000000005,67,5,1,1.3984,Medium,High School,92,False,High,Medium,4.0,Low,8,4,Neutral,6.0,0,68
81,16,4.800000000000001,59,3,3,1.1988,Medium,Postgraduate,74,False,Medium,Medium,4.352941176470588,Medium,8,2,Positive,6.0,0,68
92,31,10.85,61,3,2,1.3984,Medium,High School,76,False,High,Medium,2.375,Medium,4,4,Positive,7.0,0,72
75,23,4.6,51,4,0,0.5325,High,College,71,False,Medium,Low,2.9583333333333335,Medium,6,2,Neutral,4.0,0,65
76,13,3.25,89,2,2,0.7524,High,High School,99,False,Medium,Low,7.071428571428571,Medium,5,4,Positive,5.0,0,66
64,24,6.0,65,5,0,1.728,Medium,High School,90,False,High,High,3.6,Low,8,3,Negative,5.0,0,65
97,14,2.8,51,3,2,1.2804,Medium,College,66,False,Medium,Medium,4.4,Medium,6,3,Negative,4.0,0,67
64,25,5.0,79,2,2,0.5696,High,College,89,False,Medium,Low,3.423076923076923,Medium,5,4,Neutral,4.0,0,66
86,27,8.100000000000001,57,3,1,0.6192,Medium,High School,72,False,High,Low,2.5714285714285716,Medium,7,4,Positive,6.0,0,69
77,15,5.25,84,2,0,0.7238,Medium,College,94,False,High,Low,5.875,High,8,3,Positive,7.0,0,66
76,26,5.2,47,1,4,0.7904,High,High School,52,True,Low,Medium,1.9259259259259258,High,6,3,Neutral,4.0,0,69
87,22,5.5,38,6,0,1.1832,Low,High School,68,False,Medium,Medium,2.9565217391304346,Low,7,2,Neutral,5.0,0,67
63,25,6.25,61,2,1,0.8946,Medium,High School,71,False,Low,Medium,2.730769230769231,Medium,6,3,Positive,5.0,0,66
84,31,7.75,62,5,2,1.4616,Medium,College,87,False,Medium,Medium,2.71875,Low,9,3,Neutral,5.0,0,71
91,19,4.75,39,4,5,1.0738,Low,College,59,False,High,Medium,2.95,Medium,6,4,Neutral,5.0,0,70
93,15,4.5,54,2,2,1.1904000000000001,Medium,Postgraduate,64,False,High,Medium,4.0,Medium,6,4,Positive,6.0,0,71
67,15,4.5,76,2,1,1.7286000000000001,Medium,Postgraduate,86,False,Medium,High,5.375,High,7,3,Positive,6.0,1,66
96,15,3.0,39,3,3,1.5552000000000001,Medium,High School,54,False,High,High,3.375,Medium,7,2,Negative,4.0,0,67
86,20,4.0,40,4,1,1.032,Low,College,60,False,Medium,Medium,2.857142857142857,Medium,8,4,Neutral,4.0,0,66
95,22,6.6000000000000005,68,4,0,0.836,High,Postgraduate,88,False,High,Low,3.8260869565217392,Low,9,2,Positive,6.0,0,72
79,22,5.5,79,3,1,1.4852,Medium,High School,94,False,Medium,Medium,4.086956521739131,Medium,9,3,Positive,5.0,0,68
82,25,7.5,61,5,3,1.4103999999999999,Medium,High School,86,False,High,Medium,3.3076923076923075,Low,6,3,Positive,6.0,0,69
97,20,5.0,51,5,2,0.7372,Medium,Postgraduate,76,False,Low,Low,3.619047619047619,Low,7,3,Positive,5.0,0,71
96,29,7.25,40,3,0,0.528,Medium,Postgraduate,55,True,Medium,Low,1.8333333333333333,Medium,9,2,Neutral,5.0,0,70
78,18,2.7,81,2,2,2.1294,Medium,College,91,False,Low,High,4.7894736842105265,High,9,4,Neutral,3.0,0,67
71,36,10.8,46,2,2,0.7952,Medium,High School,56,True,Medium,Medium,1.5135135135135136,High,6,2,Positive,6.0,0,69
76,24,4.8,49,4,2,0.5244,High,High School,69,False,Medium,Low,2.76,Medium,8,1,Neutral,4.0,0,65
76,15,3.0,38,3,1,0.8056000000000001,High,College,53,False,Medium,Medium,3.3125,Low,8,4,Neutral,4.0,0,65
71,14,4.199999999999999,70,3,2,0.6034999999999999,Medium,High School,85,False,High,Low,5.666666666666667,Medium,8,4,Neutral,6.0,0,64
71,23,4.6,30,9,1,0.5325,Low,College,75,False,Medium,Low,3.125,Low,9,2,Negative,4.0,0,63
94,19,4.75,60,7,3,1.7859999999999998,Medium,High School,95,False,Low,Medium,4.75,Low,5,2,Positive,5.0,0,69
63,24,7.199999999999999,22,7,1,0.7182,Low,College,57,True,High,Medium,2.28,Low,6,5,Neutral,6.0,0,64
87,23,6.8999999999999995,91,0,0,2.3750999999999998,High,High School,91,False,Medium,High,3.7916666666666665,High,8,3,Positive,6.0,1,72
67,20,5.0,51,5,0,1.0184,Medium,High School,76,False,Medium,Medium,3.619047619047619,Medium,7,4,Neutral,5.0,0,63
74,15,4.5,38,6,3,0.5032,High,High School,68,False,Medium,Low,4.25,Low,4,3,Positive,6.0,0,64
62,11,2.75,77,1,3,1.0168,High,College,82,False,Medium,Medium,6.833333333333333,High,5,4,Neutral,5.0,0,64
71,17,5.1,75,3,5,1.278,Medium,Postgraduate,90,False,Medium,Medium,5.0,Medium,8,1,Positive,6.0,0,67
91,25,7.5,57,3,2,0.6552,Medium,Postgraduate,72,False,High,Low,2.769230769230769,Medium,8,0,Positive,6.0,0,71
95,21,4.2,47,3,1,1.7669999999999997,Medium,High School,62,False,Low,High,2.8181818181818183,Medium,5,4,Positive,4.0,0,70
69,13,3.25,76,4,0,0.6623999999999999,Low,High School,96,False,Medium,Low,6.857142857142857,High,9,4,Neutral,5.0,0,61
79,21,4.2,46,4,2,0.5214000000000001,High,College,66,False,Medium,Low,3.0,Low,7,4,Negative,4.0,0,67
79,22,4.4,95,1,4,1.58,Medium,College,100,False,High,Medium,4.3478260869565215,High,5,3,Negative,4.0,0,72
95,15,3.0,43,9,1,0.836,Low,High School,88,False,Medium,Low,5.5,Low,6,5,Negative,4.0,0,66
91,21,4.2,79,1,1,1.5288,High,High School,84,False,Low,Medium,3.8181818181818183,High,5,2,Neutral,4.0,0,70
81,20,5.0,41,2,3,1.2393,Medium,High School,51,False,Medium,High,2.4285714285714284,Medium,6,4,Neutral,5.0,0,67
87,13,3.9000000000000004,52,4,2,1.2528,Low,High School,72,False,High,Medium,5.142857142857143,Medium,4,3,Neutral,6.0,0,67
94,22,5.5,55,4,2,2.1149999999999998,Medium,College,75,False,Medium,High,3.260869565217391,High,7,2,Neutral,5.0,0,71
60,23,6.8999999999999995,49,4,1,0.828,Medium,College,69,False,Medium,Medium,2.875,Low,8,4,Positive,6.0,0,66
76,26,7.800000000000001,42,3,1,0.8664,Medium,High School,57,True,Medium,Medium,2.111111111111111,Medium,5,4,Positive,6.0,0,68
96,26,7.800000000000001,58,2,3,1.3056,Medium,College,68,False,Medium,Medium,2.5185185185185186,High,7,3,Positive,6.0,0,74
90,12,3.0,34,4,1,0.9720000000000001,Low,High School,54,False,Medium,Medium,4.153846153846154,High,6,3,Neutral,5.0,0,64
82,14,3.5,40,5,1,1.066,Medium,College,65,False,Medium,Medium,4.333333333333333,Low,8,3,Positive,5.0,0,65
81,23,5.75,19,7,1,0.8748000000000001,Medium,College,54,False,Medium,Medium,2.25,Low,4,3,Neutral,5.0,0,66
74,23,5.75,78,2,0,0.6512,High,High School,88,False,High,Low,3.6666666666666665,Medium,8,3,Negative,5.0,0,66
81,23,5.75,59,5,2,1.3608,Low,High School,84,False,Medium,Medium,3.5,Medium,4,5,Positive,5.0,0,68
